sms_msg,sms_resDate,category,status
"**일일택배시행 및 유류값 인하 안내**  ?장소: 사동항 울릉크루즈 화물취급소 옆 건영택배 ?시간: 08:00~11:00(익일 소비자에게 배송가능) / 유류값(등유, 경유) 50원 인하",2023.2.22 10:22,선박,미정
**일일택배 접수시간 재안내** ?장소: 사동항 울릉크루즈 화물취급소 옆 건영택배 ?시간: 08:00~10:30(접수 시 익일 소비자에게 배송가능) 문의: 791-6668,2023.2.22 15:00,선박,미정
**일일택배 접수시간 안내** ?장소: 사동항 울릉크루즈 화물취급소 옆 건영택배 ?시간: 06:00~10:30(20건 이상 택배접수 시 사전 문의: 791-6668),2023.3.3 13:44,선박,미정
<여객선 차량운임 보조금 예산소진에 따른 지원 중단 알림> 3월 17일 이후 중단 됩니다.  자세한 내용은 울릉크루즈 홈페이지 공지사항 참조 부탁드립니다.ulcruise.co.kr,2023.3.16 9:39,사람,미정
[한진택배]★4/3(월)부터 당일택배 접수 받습니다.★ 접수시간은 오전8시부터 오전10시까지이며 사동항 울릉크루즈 앞에서 받습니다. 문의 054-791-7412 ★,2023.4.2 11:59,선박,미정
[한진택배]★4/3(월)부터 당일택배 접수 받습니다★ 접수시간은 오전8시부터 오전10시까지이며 접수장소는 울릉크루즈 앞 주차장입니다. 문의 054-791-7412 ★,2023.4.2 17:00,선박,미정
[한진택배]★4/3(월)부터 일일/당일택배 접수 받습니다★ 접수시간은 오전8시부터 오전10시까지이며 접수장소는 울릉크루즈 앞 주차장입니다. 문의 054-791-7412 ★,2023.4.3 9:34,선박,미정
[건영택배] 4월11일 기상악화로 울릉크루즈 출항시간이 2시간 앞당겨진 관계로 택배접수시간도 06시30분부터 09시에 마감할예정입니다. 감사합니다.,2023.4.10 16:56,선박,출항
(건영택배) 기상악화로 인하여 울릉크루즈 출항이 늦어져서 일요일 배송분 당일배송이 어려운점 양해부탁드려요,2023.5.6 9:35,선박,출항
[건영택배 정정] 기상악화로 인하여 울릉크루즈 운항이 어려움이 있어 5월7일~8일 양일간 당일택배가 불가인 점 양해부탁드립니다. 정상적인 당일택배는 5월9일 화요일 배송부터 입니다. 감사합니다,2023.5.6 14:08,선박,미정
"금일(10일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1,072명 입니다.",2023.6.10 5:36,사람,입항 예정
"금일(11일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1,032명 입니다.",2023.6.11 5:33,사람,입항 예정
"내일 6/12(월)부터 울릉크루즈  화물 집하장이 청원주차장(포항시 북구 서동로 101, 육거리 CGV 옆)에서 구항 여객터미널 옆 항만창고(포항시 북구 항구동 58-57번지)로 변경되었습니다.",2023.6.11 9:05,사람,미정
"내일 6/12(월)부터 울릉크루즈 화물 집하장이 청원주차장(포항시 북구 서동로 101, 육거리 CGV 옆)에서 구항 여객터미널 옆 항만창고(포항시 북구 항구동 58-57번지)로 변경되었습니다.",2023.6.11 12:42,사람,미정
"금일(12일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 959명 입니다.",2023.6.12 5:35,사람,입항 예정
"금일 6/12(월)부터 울릉크루즈 화물 집하장이 청원주차장(포항시 북구 서동로 101, 육거리 CGV 옆)에서 구항 여객터미널 옆 항만창고(포항시 북구 항구동 58-57번지)로 변경되었습니다.",2023.6.12 14:54,사람,미정
"금일(13일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 927명 입니다.",2023.6.13 5:40,사람,입항 예정
"금일(14일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 866명 입니다.",2023.6.14 5:31,사람,입항 예정
"금일(15일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 676명 입니다.",2023.6.15 5:35,사람,입항 예정
"금일(16일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 704명 입니다.",2023.6.16 5:51,사람,입항 예정
"금일(17일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1198명 입니다.",2023.6.17 5:49,사람,입항 예정
"금일(18일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 834명 입니다.",2023.6.18 5:36,사람,입항 예정
"금일(19일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:45 이며, 탑승인원은 828명 입니다.",2023.6.19 5:30,사람,입항 예정
"금일(20일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 678명 입니다.",2023.6.20 5:31,사람,입항 예정
"금일(21일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40 이며, 탑승인원은 555명 입니다.",2023.6.21 5:34,사람,입항 예정
"금일(22일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:05 이며, 탑승인원은 693명 입니다.",2023.6.22 5:08,사람,입항 예정
"금일(23일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:45 이며, 탑승인원은 581명 입니다.",2023.6.23 5:35,사람,입항 예정
"금일(24일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40이며, 탑승인원은 1,101명 입니다.",2023.6.24 5:36,사람,입항 예정
"금일(25일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40 이며, 탑승인원은 536명 입니다.",2023.6.25 5:26,사람,입항 예정
"금일(26일) 울릉크루즈 포항(영일만항) 입항 예정시간은 19:15 이며, 탑승인원은 1,149명 입니다.",2023.6.25 17:12,사람,입항 예정
"*정정* 금일(25일) 울릉크루즈 포항(영일만항) 입항 예정시간은 19:15 이며, 탑승인원은 1,149명 입니다.",2023.6.25 17:13,사람,입항 예정
"금일(26일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 835명 입니다.",2023.6.26 5:37,사람,입항 예정
"금일(27일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 622명 입니다",2023.6.27 5:42,사람,입항 예정
"금일(28일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 503명 입니다",2023.6.28 5:34,사람,입항 예정
"[오늘 공연안내] 오전10시반~12시/문화가 있는 날 청춘마이크 /뮤지컬갈라, 클래식, 가요,  성악 등 공연 / 사동항 울릉크루즈 탑승장 인근 / 많은 관심 바랍니다.",2023.6.28 10:12,사람,미정
"금일(29일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 548명 입니다",2023.6.29 5:38,사람,입항 예정
"금일(30일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 444명 입니다",2023.6.30 5:36,사람,입항 예정
"금일(01일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40 이며, 탑승인원은 758명 입니다",2023.7.1 5:17,사람,입항 예정
"금일(02일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 587명 입니다",2023.7.2 5:51,사람,입항 예정
"금일(03일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 751명 입니다",2023.7.3 5:39,사람,입항 예정
[건영택배] 포항쪽 심한 해무로 울릉크루즈가 결항하여 7월4일 화요일 배송분은 당일택배가 불가인 점 양해부탁드립니다. 정상적인 당일택배는 7월5일 수요일부터 접수가능합니다. 감사합니다,2023.7.4 6:47,선박,운항불가
"금일(05일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 494명 입니다",2023.7.5 5:33,사람,입항 예정
"금일(07일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 689명 입니다",2023.7.7 5:40,사람,입항 예정
"금일(08일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:35 이며, 탑승인원은 875명 입니다",2023.7.8 5:38,사람,입항 예정
"금일(09일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 268명 입니다",2023.7.9 5:44,사람,입항 예정
"금일(10일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 532명 입니다",2023.7.10 6:13,사람,입항 예정
"금일(11일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 483명 입니다",2023.7.11 5:31,사람,입항 예정
"금일(12일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 441명 입니다",2023.7.12 5:34,사람,입항 예정
"금일(13일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 560명 입니다",2023.7.13 5:17,사람,입항 예정
"금일(14일) 울릉크루즈 울릉(사동항) 입항 예정시간은 05:25 이며, 탑승인원은 523명 입니다",2023.7.14 4:36,사람,입항 예정
"금일(15일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:00 이며, 탑승인원은 644명 입니다",2023.7.15 5:32,사람,입항 예정
"금일(16일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 397명 입니다.",2023.7.16 5:36,사람,입항 예정
"금일(17일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:25 이며, 탑승인원은 455명 입니다.",2023.7.17 5:38,사람,입항 예정
"금일(18일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:35 이며, 탑승인원은 456명 입니다.",2023.7.18 5:42,사람,입항 예정
"금일(19일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:35 이며, 탑승인원은 490명 입니다.",2023.7.19 5:37,사람,입항 예정
"금일(21일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 699명 입니다.",2023.7.21 5:34,사람,입항 예정
"금일(22일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 598명 입니다.",2023.7.22 5:41,사람,입항 예정
"금일(23일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 427명 입니다.",2023.7.23 5:31,사람,입항 예정
"금일(24일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 665명 입니다.",2023.7.24 5:13,사람,입항 예정
"금일(25일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 613명 입니다.",2023.7.25 5:28,사람,입항 예정
"금일(26일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 574명 입니다.",2023.7.26 5:38,사람,입항 예정
"금일(27일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 783명 입니다.",2023.7.27 5:47,사람,입항 예정
"금일(28일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 640명 입니다.",2023.7.28 5:37,사람,입항 예정
"금일(29일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1196명 입니다.",2023.7.29 5:42,사람,입항 예정
"금일(30일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 925명 입니다.",2023.7.30 5:37,사람,입항 예정
"금일(31일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 941명 입니다.",2023.7.31 6:04,사람,입항 예정
"금일(01일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1,079명 입니다.",2023.8.1 5:34,사람,입항 예정
"금일(02일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 911명 입니다.",2023.8.2 5:35,사람,입항 예정
"금일(03일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 803명 입니다.",2023.8.3 5:30,사람,입항 예정
"금일(04일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 683명 입니다.",2023.8.4 5:50,사람,입항 예정
"금일(05일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 795명 입니다.",2023.8.5 5:32,사람,입항 예정
"금일(06일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:45 이며, 탑승인원은 464명 입니다.",2023.8.6 5:38,사람,입항 예정
"금일(08일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:00 이며, 탑승인원은 360명 입니다.",2023.8.8 5:32,사람,입항 예정
"금일(12일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:45 이며, 탑승인원은 1,161명 입니다.",2023.8.12 5:41,사람,입항 예정
"금일(13일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:45 이며, 탑승인원은 1,094명 입니다.",2023.8.13 5:40,사람,입항 예정
"금일(14일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:45 이며, 탑승인원은 652명 입니다.",2023.8.14 5:38,사람,입항 예정
"금일(15일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:50 이며, 탑승인원은 608명 입니다.",2023.8.15 6:01,사람,입항 예정
"금일(16일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:00 이며, 탑승인원은 783명 입니다.",2023.8.16 5:38,사람,입항 예정
"금일(17일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40 이며, 탑승인원은 569명 입니다.",2023.8.17 5:37,사람,입항 예정
"금일(18일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 613명 입니다.",2023.8.18 5:41,사람,입항 예정
"금일(19일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 528명 입니다",2023.8.19 5:30,사람,입항 예정
"금일(20일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 341명 입니다",2023.8.20 5:35,사람,입항 예정
"금일(21일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 556명 입니다",2023.8.21 5:41,사람,입항 예정
"금일(22일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 500명 입니다",2023.8.22 5:32,사람,입항 예정
"금일(23일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 489명 입니다",2023.8.23 5:47,사람,입항 예정
"금일(24일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:50 이며, 탑승인원은 374명 입니다",2023.8.24 5:10,사람,입항 예정
"금일(25일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:35 이며, 탑승인원은 451명 입니다",2023.8.25 5:34,사람,입항 예정
"금일(26일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 716명 입니다",2023.8.26 5:32,사람,입항 예정
"금일(27일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 306명 입니다",2023.8.27 5:47,사람,입항 예정
"금일(28일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:50 이며, 탑승인원은 636명 입니다",2023.8.28 5:38,사람,입항 예정
"금일(29일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:40 이며, 탑승인원은 531명 입니다",2023.8.29 5:35,사람,입항 예정
"금일(31일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:30 이며, 탑승인원은 506명 입니다",2023.8.31 5:49,사람,입항 예정
"금일(02일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:25 이며, 탑승인원은 959명 입니다",2023.9.2 5:36,사람,입항 예정
[건영택배] 9월2일(일요일) 울릉크루즈 선박점검(결항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 크루즈 수리 후 가능할 예정입니다. 감사합니다,2023.9.3 6:14,선박,운항불가
[건영택배] 9월 3일(일요일) 울릉크루즈 선박점검(결항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 크루즈 수리 후 가능할 예정입니다. 감사합니다,2023.9.3 6:15,선박,운항불가
[건영택배] 9월 3일(일요일) 울릉크루즈 선박점검(결항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 크루즈 수리 후 가능할 예정입니다. 감사합니다,2023.9.3 8:18,선박,운항불가
[건영택배] 9월 4일(월요일) 울릉크루즈 선박점검(결항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 크루즈 수리 후 가능할 예정입니다. 감사합니다,2023.9.4 6:22,선박,운항불가
[건영택배] 9월 4일(월요일)~9월 7일(목요일) 울릉크루즈 선박점검(휴항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 9월 8일(금요일)부터 접수 가능할 예정입니다. 감사합니다,2023.9.4 9:44,선박,운항불가
[건영택배] 9월 4일(월요일)~9월 7일(목요일) 울릉크루즈 선박점검(휴항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 9월 8일(금요일)부터 접수 가능할 예정입니다. 감사합니다,2023.9.4 11:05,선박,운항불가
[건영택배] 9월 4일(월요일)~9월 7일(목요일) 울릉크루즈 선박점검(휴항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 9월 8일(금요일)부터 접수 가능할 예정입니다. 감사합니다,2023.9.4 16:24,선박,운항불가
[건영택배] 9월 4일(월요일)~9월 7일(목요일) 울릉크루즈 선박점검(휴항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 9월 8일(금요일)부터 접수 가능할 예정입니다. 감사합니다,2023.9.5 7:18,선박,운항불가
[건영택배] 9월 4일(월요일)~9월 7일(목요일) 울릉크루즈 선박점검(휴항)으로 인하여 당일택배가 불가인 점 양해부탁드립니다. 당일택배는 9월 8일(금요일)부터 접수 가능할 예정입니다. 감사합니다,2023.9.5 18:00,선박,운항불가
"금일(08일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40 이며, 탑승인원은 697명 입니다",2023.9.8 5:47,사람,입항 예정
"금일(09일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 814명 입니다",2023.9.9 5:35,사람,입항 예정
"금일(10일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 257명 입니다",2023.9.10 5:43,사람,입항 예정
"금일(11일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 738명 입니다",2023.9.11 5:48,사람,입항 예정
"금일(12일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 727명 입니다",2023.9.12 5:39,사람,입항 예정
"금일(13일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 534명 입니다",2023.9.13 5:46,사람,입항 예정
"금일(14일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 491명 입니다",2023.9.14 5:52,사람,입항 예정
"금일(15일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 463명 입니다",2023.9.15 5:34,사람,입항 예정
"금일(16일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 782명 입니다",2023.9.16 5:37,사람,입항 예정
"금일(17일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 337명 입니다",2023.9.17 5:32,사람,입항 예정
"금일(18일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 670명 입니다",2023.9.18 5:39,사람,입항 예정
"금일(19일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 516명 입니다",2023.9.19 5:36,사람,입항 예정
"금일(20일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 403명 입니다",2023.9.20 5:53,사람,입항 예정
"금일(21일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:50 이며, 탑승인원은 315명 입니다",2023.9.21 5:58,사람,입항 예정
"금일(26일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 290명 입니다",2023.9.26 5:41,사람,입항 예정
"금일(27일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:35 이며, 탑승인원은 542명 입니다",2023.9.27 5:37,사람,입항 예정
"금일(28일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1,195명 입니다",2023.9.28 5:34,사람,입항 예정
"금일(29일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1,181명 입니다",2023.9.29 5:46,사람,입항 예정
"금일(30일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1,154명 입니다",2023.9.30 5:46,사람,입항 예정
"금일(01일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40 이며, 탑승인원은 1,116명 입니다",2023.10.1 5:14,사람,입항 예정
"금일(02일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 757명 입니다",2023.10.2 5:41,사람,입항 예정
"금일(03일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 703명 입니다",2023.10.3 5:37,사람,입항 예정
"금일(04일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 871명 입니다",2023.10.4 5:53,사람,입항 예정
"금일(05일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:40 이며, 탑승인원은 645명 입니다",2023.10.5 5:36,사람,입항 예정
"금일(06일) 울릉크루즈 울릉(사동항) 입항 예정시간은 07:00 이며, 탑승인원은 820명 입니다",2023.10.6 5:41,사람,입항 예정
"금일(07일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 1,200명 입니다",2023.10.7 5:37,사람,입항 예정
"금일(08일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 1,093명 입니다",2023.10.8 5:39,사람,입항 예정
"금일(09일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 613명 입니다",2023.10.9 5:38,사람,입항 예정
"금일(10일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 629명 입니다",2023.10.10 5:36,사람,입항 예정
"금일(11일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 591명 입니다",2023.10.11 5:39,사람,입항 예정
"금일(12일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 568명 입니다",2023.10.12 5:42,사람,입항 예정
"금일(13일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 630명 입니다",2023.10.13 5:54,사람,입항 예정
"금일(14일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 1124명 입니다",2023.10.14 5:35,사람,입항 예정
"금일(15일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 590명 입니다",2023.10.15 5:40,사람,입항 예정
"금일(16일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 641명 입니다",2023.10.16 5:39,사람,입항 예정
"금일(17일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:20 이며, 탑승인원은 936명 입니다",2023.10.17 5:37,사람,입항 예정
"금일(18일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 603명 입니다",2023.10.18 5:51,사람,입항 예정
"금일(19일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 679명 입니다",2023.10.19 5:33,사람,입항 예정
"금일(20일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 639명 입니다",2023.10.20 5:42,사람,입항 예정
"금일(21일) 울릉크루즈 울릉(사동항) 입항 예정시간은 10:05 이며, 탑승인원은 1,156명 입니다",2023.10.21 8:38,사람,입항 예정
"금일(22일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 468명 입니다",2023.10.22 5:37,사람,입항 예정
"금일(23일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 724명 입니다",2023.10.23 5:54,사람,입항 예정
"금일(24일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 701명 입니다",2023.10.24 5:32,사람,입항 예정
"금일(25일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 457명 입니다",2023.10.25 5:32,사람,입항 예정
"금일(26일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 631명 입니다",2023.10.26 5:44,사람,입항 예정
"금일(27일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 715명 입니다",2023.10.27 5:31,사람,입항 예정
"금일(28일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1131명 입니다",2023.10.28 5:31,사람,입항 예정
"*정정* 금일(28일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 1158명 입니다",2023.10.28 5:32,사람,입항 예정
"금일(29일) 울릉크루즈 울릉(사동항) 입항 예정시간은 06:30 이며, 탑승인원은 435명 입니다",2023.10.29 5:36,사람,입항 예정
